Nu,P,um,Fluid,SAT,Q,Re,dd,H,dn,Pr,At,mio,k,rho
12.45769603,555838,20.00508335,Water,Pressure,0.032472935,3.954472791,0.000121777,0.01451,0.00056,7,0.0002,0.001,0.6,1000
10.81526251,537563,19.67346843,Water,Pressure,0.031739016,3.898709629,0.000122837,0.01451,0.00056,7,0.0002,0.001,0.6,1000
12.7786,620528,19.3757436,Water,Pressure,0.00443,3.892103554,0.000790721,0.03,0.00076,7,0.001963,0.0009,0.6,1000
9.33119409,516244,19.27941078,Water,Pressure,0.031091564,3.859417511,0.000124131,0.01451,0.00056,7,0.0002,0.001,0.6,1000
9.748,2000000,49.6,Water,Pressure,0.0096,3.84,0.0004,0.1,0.008,7,0.000625,0.001,0.6,1000
10.956575,2000000,49.6,Water,Pressure,0.00557,3.81545,0.000685,0.3,0.008,7,0.000625,0.001,0.6,1000
7.649626188,501015,18.99291447,Water,Pressure,0.030328998,3.794070257,0.000125097,0.01451,0.00056,7,0.0002,0.001,0.6,1000
7.25182888,455330,18.1062862,Water,Pressure,0.02934833,3.763444697,0.000128234,0.01451,0.00056,7,0.0002,0.001,0.6,1000
12.98026667,200000,17.2,Water,Pressure,0.00215,3.698,0.00172,0.2,0.008,7,0.000625,0.001,0.6,1000
11.83865833,500000,26.2,Water,Pressure,0.00472,3.68632,0.000781,0.1,0.008,7,0.000625,0.001,0.6,1000
6.698981344,423350,17.45886594,Water,Pressure,0.028151494,3.678704469,0.000130675,0.01451,0.00056,7,0.0002,0.001,0.6,1000
12.1271,620528,19.3757436,Water,Pressure,0.00443,3.673169504,0.000746242,0.03,0.00076,7,0.001963,0.0009,0.6,1000
6.411345227,405076,17.07790151,Water,Pressure,0.027286116,3.606603549,0.000132177,0.01451,0.00056,7,0.0002,0.001,0.6,1000
5.891579198,367005,16.25557135,Water,Pressure,0.0263058,3.56705747,0.0001356,0.01451,0.00056,7,0.0002,0.001,0.6,1000
11.3374,620528,19.3757436,Water,Pressure,0.00443,3.516868211,0.000714488,0.03,0.00076,7,0.001963,0.0009,0.6,1000
20.4538006,247838.3784,12.91300356,Water,Pressure,0.005,3.50102,0.000700204,0.254,0.002334013,7,0.00005,0.001,0.6,1000
5.272040327,325888,15.31794242,Water,Pressure,0.02486362,3.47686878,0.000139838,0.01451,0.00056,7,0.0002,0.001,0.6,1000
10.4414,620528,19.3757436,Water,Pressure,0.00443,3.416082253,0.000694012,0.03,0.00076,7,0.001963,0.0009,0.6,1000
8.749136842,344000,12.74911762,FC-72,Pressure,0.001846857,3.3936,0.000027,0.005,0.0007,12,0.000049,0.00064,0.057,1680
10.13175,500000,26.2,Water,Pressure,0.00247,3.3345,0.00135,0.3,0.008,7,0.000625,0.001,0.6,1000
9.779568333,1000000,36.1,Water,Pressure,0.00666,3.32334,0.000499,0.1,0.008,7,0.000625,0.001,0.6,1000
9.68866,620528,19.3757436,Water,Pressure,0.00443,3.270646414,0.000664465,0.03,0.00076,7,0.001963,0.0009,0.6,1000
19.59943865,245043.2162,12.83997959,Water,Pressure,0.005,3.16722,0.000633444,0.254,0.00211148,7,0.00005,0.001,0.6,1000
18.24143533,242248.0541,12.76653793,Water,Pressure,0.005,3.16675,0.00063335,0.254,0.002111167,7,0.00005,0.001,0.6,1000
8.53113,239061,12.02630055,Water,Pressure,0.00275,3.108481427,0.001017321,0.03,0.00061,7,0.001963,0.0009,0.6,1000
15.35746073,233862.5676,12.54363326,Water,Pressure,0.005,2.98961,0.000597922,0.254,0.001993073,7,0.00005,0.001,0.6,1000
8.53175,239061,12.02630055,Water,Pressure,0.00275,2.976682326,0.000974187,0.03,0.00061,7,0.001963,0.0009,0.6,1000
11.1826,500000,26.2,Water,Pressure,0.00289,2.9478,0.00102,0.2,0.008,7,0.000625,0.001,0.6,1000
19.053572,239452.8919,12.69267134,Water,Pressure,0.005,2.82464,0.000564928,0.254,0.001883093,7,0.00005,0.001,0.6,1000
8.21906,239061,12.02630055,Water,Pressure,0.00275,2.789132847,0.000912807,0.03,0.00061,7,0.001963,0.0009,0.6,1000
